Designator,Footprint,Quantity,Value,LCSC Part #
C1,CP_EIA-3216-18_Kemet-A,1,10u,
C10,0402,1,0.1u,
"C11, C12",0603,2,4.7u,
"C13, C14",0603,2,1u,
"C2, C7",0603,2,10u,
"C3, C4, C5",0805,3,22u,
C6,0402,1,100n,
"C8, C9",0805,2,10u,
"D4, D5",D_SMA,2,SS33,
F1,1812,1,4A,
IC1,TPS630701RNMR,1,TPS63070RNMR,
J1,KF3012P,1,Ext_power_conn,
J2,KF3012P,1,Bat_conn,
J3,KF3012P,1,Out_conn,
J4,TerminalBlock_Xinya_XY308-2.54-5P_1x05_P2.54mm_Horizontal,1,MCU_conn,
L1,L_Coilcraft_XxL4020,1,1.5u,
LED_A1,0603,1,LED_amber,
LED_G1,0603,1,LED_green,
Q1,FS8205,1,FS8205,
Q2,SOT-23-GATE,1,DMP1045U-7,
Q4,SOT-23,1,BSS84,
R1,0603,1,100k,
"R10, R3",0805,2,470R,
"R11, R6, R9",0402,3,100k,
R2,0603,1,10k,
"R4, R7",0402,2,100R,
"R5, RMOS2",0603,2,1k,
RN1,R_Array_Convex_4x0402,1,10k,
RPROG1,0603,1,2k,
SW1,KF3012P,1,Power_sw_conn,
SW2,PinHeader_1x02_P2.54mm_Vertical_SMD_Pin1Left,1,Switch_pins,
SW3,SW_DIP_SPSTx02_Slide_KingTek_DSHP02TS_W7.62mm_P1.27mm,1,SW_DIP_x02,
TP1,Pin_D0.7mm_L6.5mm_W1.8mm_FlatFork,1,Alert,
TP2,TestPoint_Pad_D2.0mm,1,Vout,
TP3,Pin_D0.7mm_L6.5mm_W1.8mm_FlatFork,1,Qstart,
TP4,TestPoint_Pad_D2.0mm,1,V_CHRG,
TP6,TestPoint_Pad_D2.0mm,1,Vin,
TP7,TestPoint_Pad_D2.0mm,1,Bat_Chrg,
U1,SOT-23-6,1,DW01A,
U2,SOT-23-5,1,MCP73831-2-OT,
U3,SON50P200X200X80-9N,1,MAX17048G_T10,
