Designator,Mid X,Mid Y,Rotation,Layer
C1,86.145259,-53.11684,270.0,top
C10,90.145259,-65.89434,90.0,top
C11,94.320603,-43.841945,90.0,top
C12,101.749973,-43.850759,90.0,top
C13,89.08,-72.58,180.0,top
C14,96.45,-72.57,180.0,top
C2,107.545259,-54.51434,270.0,top
C3,107.195259,-50.91434,180.0,top
C4,107.195259,-48.81434,180.0,top
C5,107.195259,-46.71434,180.0,top
C6,111.545259,-53.41434,180.0,top
C7,107.545259,-57.53934,90.0,top
C8,107.195259,-63.21434,180.0,top
C9,107.195259,-61.16434,180.0,top
D4,91.045259,-54.46434,180.0,top
D5,91.045259,-58.11434,180.0,top
F1,97.945259,-56.26434,0.0,top
IC1,110.945259,-56.04734,180.0,top
J1,76.6,-41.6,270.0,top
J2,76.6,-66.6,270.0,top
J3,119.4,-41.7,90.0,top
J4,118.862759,-65.06434,90.0,top
L1,103.645259,-56.06434,270.0,top
LED_A1,96.035259,-51.62684,180.0,top
LED_G1,96.0625,-49.6,0.0,top
Q1,99.525,-65.3,0.0,top
Q2,89.495259,-61.91434,0.0,top
Q4,105.9125,-70.4,180.0,top
R1,110.470259,-49.86434,0.0,top
R10,99.462919,-49.596386,0.0,top
R11,104.460259,-66.26434,180.0,top
R2,110.445259,-60.33934,90.0,top
R3,99.458881,-51.622157,0.0,top
R4,88.620259,-65.41434,180.0,top
R5,96.445259,-65.36434,0.0,top
R6,92.71,-61.3,0.0,top
R7,92.72,-62.35,0.0,top
R9,104.460259,-65.21434,180.0,top
RMOS2,104.120259,-67.56434,0.0,top
RN1,95.17,-70.1,90.0,top
RPROG1,95.738737,-46.844151,0.0,top
SW1,76.6,-54.1,270.0,top
SW2,89.387759,-43.78184,270.0,top
SW3,117.695259,-52.61434,270.0,top
TP1,111.96,-76.84,0.0,top
TP3,114.785,-76.84,0.0,top
U1,92.795259,-65.37684,0.0,top
U2,98.045259,-44.02684,0.0,top
U3,90.785,-70.1,0.0,top
